from,to,relationship,year
fb,epc,3,2021
fb,asy,3,2021
fb,zif,4,2021
fb,vdf,3,2021
fb,tuw,3,2020
fb,iep,3,2020
fb,cfr,3,2020
fb,ebd,3,2020
fb,tuw,3,2017
fb,hia,3,2017
fb,foe,3,2017
fb,dfi,3,2017
fb,bmk,3,2017
fb,jdi,4,2017
fb,ave,3,2017
fb,aae,2,2021
fb,aua,2,2017
fb,eua,2,2017
fb,fsf,2,2017
fb,dfp,2,2021
fb,bwk,1,2021
,,,
ft,kfw,3,2021
ft,sve,6,2021
ft,ass,6,2018
ft,hau,2,2021
ft,wir,2,2021
ft,aet,2,2021
ft,aih,2,2021
ft,wig,2,2021
ft,fin,2,2021
ft,bdf,1,2021
,,,
rs,wds,3,2020
rs,dbu,3,2017
rs,rhb,3,2017
rs,alu,3,2017
rs,gar,4,2017
rs,ver,3,2021
rs,awo,3,2021
rs,gvd,3,2021
rs,eur,3,2021
rs,kla,3,2021
rs,bih,1,2021
,,,
tl,dgf,3,2021
tl,rbg,6,2018
tl,eud,3,2017
tl,eow,4,2017
tl,dik,3,2017
tl,aif,3,2017
tl,kit,3,2017
tl,hau,2,2021
tl,rec,2,2021
tl,ver,2,2021
tl,asa,1,2021
,,,
bs,bmc,3,2019
bs,zos,3,2018
bs,utb,2,2021
bs,aih,2,2021
bs,ami,3,2021
bs,brb,3,2021
bs,bdj,1,2021
,,,
jb,yec,3,2021
jb,fph,3,2021
jb,lsl,3,2021
jb,dst,3,2021
jb,das,3,2021
jb,bmh,3,2021
jb,abf,2,2021
jb,fsf,2,2021
jb,bbf,1,2021
,,,
co,iff,3,2021
co,avs,4,2021
co,ubg,6,2021
co,wge,3,2021
co,sbe,3,2021
co,sgf,3,2021
co,hbs,3,2021
co,fpp,3,2021
co,dsi,4,2021
co,dpz,3,2021
co,aiv,3,2021
co,ifm,3,2021
co,gzs,3,2021
co,avi,2,2017
co,aua,2,2017
co,wue,2,2013
co,bel,1,2021
,,,
mt,wcd,3,2021
mt,bbu,3,2021
mt,idi,3,2021
mt,kfw,4,2020
mt,aie,3,2018
mt,cnc,4,2018
mt,aes,4,2018
mt,twf,4,2018
mt,wds,3,2018
mt,ths,3,2018
mt,rms,3,2018
mt,lba,3,2018
mt,ksf,3,2018
mt,leu,4,2018
mt,hau,2,2021
mt,aus,2,2021
mt,afg,2,2021
mt,aft,2,2021
mt,awe,2,2021
,,,
ck,unb,2,2013
ck,vdi,2,2013
ck,due,3,2021
ck,bba,3,2021
ck,vwe,3,2018
ck,prs,3,2021
ck,swr,3,2017
ck,bun,1,2021
ck,abw,2,2021
ck,arv,2,2021
ck,aun,2,2021
ck,hau,2,2021
ck,kum,2,2013
ck,ruv,2,2013